code,unit,statisticalUnit,description
QS103EW0004,Count,Person,Age 2
QS103EW0005,Count,Person,Age 3
QS103EW0006,Count,Person,Age 4
QS103EW0007,Count,Person,Age 5
QS103EW0008,Count,Person,Age 6
QS103EW0009,Count,Person,Age 7
QS103EW0010,Count,Person,Age 8
QS103EW0011,Count,Person,Age 9
QS103EW0012,Count,Person,Age 10
QS103EW0013,Count,Person,Age 11
QS103EW0014,Count,Person,Age 12
QS103EW0015,Count,Person,Age 13
QS103EW0016,Count,Person,Age 14
QS103EW0017,Count,Person,Age 15
QS103EW0018,Count,Person,Age 16
QS103EW0019,Count,Person,Age 17
QS103EW0020,Count,Person,Age 18
QS103EW0021,Count,Person,Age 19
QS103EW0022,Count,Person,Age 20
QS103EW0023,Count,Person,Age 21
QS103EW0024,Count,Person,Age 22
QS103EW0025,Count,Person,Age 23
QS103EW0026,Count,Person,Age 24
QS103EW0027,Count,Person,Age 25
QS103EW0028,Count,Person,Age 26
QS103EW0029,Count,Person,Age 27
QS103EW0030,Count,Person,Age 28
QS103EW0031,Count,Person,Age 29
QS103EW0032,Count,Person,Age 30
QS103EW0033,Count,Person,Age 31
QS103EW0034,Count,Person,Age 32
QS103EW0035,Count,Person,Age 33
QS103EW0036,Count,Person,Age 34
QS103EW0037,Count,Person,Age 35
QS103EW0038,Count,Person,Age 36
QS103EW0039,Count,Person,Age 37
QS103EW0040,Count,Person,Age 38
QS103EW0041,Count,Person,Age 39
QS103EW0042,Count,Person,Age 40
QS103EW0043,Count,Person,Age 41
QS103EW0044,Count,Person,Age 42
QS103EW0045,Count,Person,Age 43
QS103EW0046,Count,Person,Age 44
QS103EW0047,Count,Person,Age 45
QS103EW0048,Count,Person,Age 46
QS103EW0049,Count,Person,Age 47
QS103EW0050,Count,Person,Age 48
QS103EW0051,Count,Person,Age 49
QS103EW0052,Count,Person,Age 50
QS103EW0058,Count,Person,Age 56
QS103EW0059,Count,Person,Age 57
QS103EW0060,Count,Person,Age 58
QS103EW0061,Count,Person,Age 59
QS103EW0062,Count,Person,Age 60
QS103EW0063,Count,Person,Age 61
QS103EW0064,Count,Person,Age 62
QS103EW0065,Count,Person,Age 63
QS103EW0066,Count,Person,Age 64
QS103EW0067,Count,Person,Age 65
QS103EW0068,Count,Person,Age 66
QS103EW0069,Count,Person,Age 67
QS103EW0070,Count,Person,Age 68
QS103EW0071,Count,Person,Age 69
QS103EW0072,Count,Person,Age 70
QS103EW0073,Count,Person,Age 71
QS103EW0074,Count,Person,Age 72
QS103EW0075,Count,Person,Age 73
QS103EW0076,Count,Person,Age 74
QS103EW0077,Count,Person,Age 75
QS103EW0078,Count,Person,Age 76
QS103EW0079,Count,Person,Age 77
QS103EW0080,Count,Person,Age 78
QS103EW0081,Count,Person,Age 79
QS103EW0082,Count,Person,Age 80
QS103EW0083,Count,Person,Age 81
QS103EW0084,Count,Person,Age 82
QS103EW0085,Count,Person,Age 83
QS103EW0086,Count,Person,Age 84
QS103EW0087,Count,Person,Age 85
QS103EW0088,Count,Person,Age 86
QS103EW0089,Count,Person,Age 87
QS103EW0090,Count,Person,Age 88
QS103EW0091,Count,Person,Age 89
QS103EW0092,Count,Person,Age 90
QS103EW0093,Count,Person,Age 91
QS103EW0094,Count,Person,Age 92
QS103EW0095,Count,Person,Age 93
QS103EW0096,Count,Person,Age 94
QS103EW0097,Count,Person,Age 95
QS103EW0098,Count,Person,Age 96
QS103EW0099,Count,Person,Age 97
QS103EW0100,Count,Person,Age 98
QS103EW0101,Count,Person,Age 99
QS103EW0102,Count,Person,Age 100 and over
QS104EW0001,Count,Person,All categories: Sex
QS104EW0002,Count,Person,Males
QS104EW0003,Count,Person,Females
QS105EW0001,Count,Person,All categories: Sex
QS105EW0002,Count,Person,Males
QS105EW0003,Count,Person,Females
QS106EW0001,Count,Person,All categories: Second address
QS106EW0002,Count,Person,No second address
QS106EW0003,Count,Person,Second address within the UK
QS106EW0004,Count,Person,Second address outside the UK
QS108EW0001,Count,Person,All categories: Living arrangements
QS108EW0002,Count,Person,Living in a couple: Total
QS108EW0003,Count,Person,Living in a couple: Married
QS108EW0004,Count,Person,Living in a couple: Cohabiting (opposite-sex)
QS108EW0005,Count,Person,Living in a couple: In a registered same-sex civil partnership or cohabiting (same-sex)
QS108EW0006,Count,Person,Not living in a couple: Total
QS108EW0007,Count,Person,Not living in a couple: Single (never married or never registered a same-sex civil partnership)
QS108EW0008,Count,Person,Not living in a couple: Married or in a registered same-sex civil partnership
QS108EW0009,Count,Person,Not living in a couple: Separated (but still legally married or still legally in a same-sex civil partnership)
QS108EW0010,Count,Person,Not living in a couple: Divorced or formerly in a same-sex civil partnership which is now legally dissolved
QS108EW0011,Count,Person,Not living in a couple: Widowed or surviving partner from a same-sex civil partnership
QS110EW0001,Count,Person,All categories: Adult lifestage
QS110EW0002,Count,Person,Age 16 to 24: Total
QS110EW0003,Count,Person,Age 16 to 24: No dependent children in household
QS110EW0004,Count,Person,Age 16 to 24: Dependent children in household
QS110EW0005,Count,Person,Age 25 to 34: Total
QS110EW0006,Count,Person,Age 25 to 34: No dependent children in household
QS110EW0007,Count,Person,Age 25 to 34: Youngest dependent child in household aged 0 to 4
QS110EW0008,Count,Person,Age 25 to 34: Youngest dependent child in household aged 5 to 10
QS110EW0009,Count,Person,Age 25 to 34: Youngest dependent child in household aged 11 to 15
QS110EW0010,Count,Person,Age 25 to 34: Youngest dependent child in household aged 16 to 18
QS110EW0011,Count,Person,Age 35 to 54: Total
QS110EW0012,Count,Person,Age 35 to 54: No dependent children in household
QS110EW0013,Count,Person,Age 35 to 54: Youngest dependent child in household aged 0 to 4
QS110EW0014,Count,Person,Age 35 to 54: Youngest dependent child in household aged 5 to 10
QS110EW0015,Count,Person,Age 35 to 54: Youngest dependent child in household aged 11 to 15
QS110EW0016,Count,Person,Age 35 to 54: Youngest dependent child in household aged 16 to 18
QS110EW0017,Count,Person,Age 55 to 64: Total
QS110EW0018,Count,Person,Age 55 to 64: One person household
QS110EW0019,Count,Person,Age 55 to 64: Two or more person household: No dependent children
QS110EW0020,Count,Person,Age 55 to 64: Dependent children in household
QS110EW0021,Count,Person,Age 65 to 74: Total
QS110EW0022,Count,Person,Age 65 to 74: One person household
QS110EW0023,Count,Person,Age 65 to 74: Two or more person household: No dependent children
QS110EW0024,Count,Person,Age 65 to 74: Dependent children in household
QS110EW0025,Count,Person,Age 75 and over: Total
QS110EW0026,Count,Person,Age 75 and over: One person household
QS110EW0027,Count,Person,Age 75 and over: Two or more person household
QS111EW0001,Count,Household,All categories: Household lifestage
QS111EW0002,Count,Household,Age of HRP under 35: Total
QS111EW0003,Count,Household,Age of HRP under 35: One person household
QS111EW0004,Count,Household,Age of HRP under 35: Two or more person household: No dependent children
QS111EW0005,Count,Household,Age of HRP under 35: Two or more person household: With dependent children
QS111EW0006,Count,Household,Age of HRP 35 to 54: Total
QS111EW0007,Count,Household,Age of HRP 35 to 54: One person household
QS111EW0008,Count,Household,Age of HRP 35 to 54: Two or more person household: No dependent children
QS111EW0009,Count,Household,Age of HRP 35 to 54: Two or more person household: With dependent children
QS111EW0010,Count,Household,Age of HRP 55 to 64: Total
QS111EW0011,Count,Household,Age of HRP 55 to 64: One person household
QS111EW0012,Count,Household,Age of HRP 55 to 64: Two or more person household: No dependent children
QS111EW0013,Count,Household,Age of HRP 55 to 64: Two or more person household: With dependent children
QS111EW0014,Count,Household,Age of HRP 65 and over: Total
QS111EW0015,Count,Household,Age of HRP 65 and over: One person household
QS111EW0016,Count,Household,Age of HRP 65 and over: Two or more person household: No dependent children
QS111EW0017,Count,Household,Age of HRP 65 and over: Two or more person household: With dependent children
QS112EW0001,Count,Person,All categories: Household composition
QS112EW0002,Count,Person,One person household: Total
QS112EW0003,Count,Person,One person household: Aged 65 and over
QS112EW0004,Count,Person,One person household: Other
QS112EW0005,Count,Person,One family only: Total
QS112EW0006,Count,Person,One family only: All aged 65 and over
QS112EW0007,Count,Person,One family only: Married couple: Total
QS112EW0008,Count,Person,One family only: Married couple: No children
QS112EW0009,Count,Person,One family only: Married couple: One dependent child
QS112EW0010,Count,Person,One family only: Married couple: Two or more dependent children
QS112EW0011,Count,Person,One family only: Married couple: All children non-dependent
QS112EW0012,Count,Person,One family only: Same-sex civil partnership couple: Total
QS112EW0013,Count,Person,One family only: Same-sex civil partnership couple: No children
QS112EW0014,Count,Person,One family only: Same-sex civil partnership couple: One dependent child
QS112EW0015,Count,Person,One family only: Same-sex civil partnership couple: Two or more dependent children
QS112EW0016,Count,Person,One family only: Same-sex civil partnership couple: All children non-dependent
QS112EW0017,Count,Person,One family only: Cohabiting couple: Total
QS112EW0018,Count,Person,One family only: Cohabiting couple: No children
QS112EW0019,Count,Person,One family only: Cohabiting couple: One dependent child
QS112EW0020,Count,Person,One family only: Cohabiting couple: Two or more dependent children
QS112EW0021,Count,Person,One family only: Cohabiting couple: All children non-dependent
QS112EW0022,Count,Person,One family only: Lone parent: Total
QS112EW0023,Count,Person,One family only: Lone parent: One dependent child
QS112EW0024,Count,Person,One family only: Lone parent: Two or more dependent children
QS112EW0025,Count,Person,One family only: Lone parent: All children non-dependent
QS112EW0026,Count,Person,Other household types: Total
QS112EW0027,Count,Person,Other household types: With one dependent child
QS112EW0028,Count,Person,Other household types: With two or more dependent children
QS112EW0029,Count,Person,Other household types: All full-time students
QS112EW0030,Count,Person,Other household types: All aged 65 and over
QS112EW0031,Count,Person,Other household types: Other
QS113EW0001,Count,Household,All categories: Household composition
QS113EW0002,Count,Household,One person household: Total
QS113EW0003,Count,Household,One person household: Aged 65 and over
QS113EW0004,Count,Household,One person household: Other
QS113EW0005,Count,Household,One family only: Total
QS113EW0006,Count,Household,One family only: All aged 65 and over
QS113EW0007,Count,Household,One family only: Married couple: Total
QS113EW0008,Count,Household,One family only: Married couple: No children
QS113EW0009,Count,Household,One family only: Married couple: One dependent child
QS113EW0010,Count,Household,One family only: Married couple: Two or more dependent children
QS113EW0011,Count,Household,One family only: Married couple: All children non-dependent
QS113EW0012,Count,Household,One family only: Same-sex civil partnership couple: Total
QS113EW0013,Count,Household,One family only: Same-sex civil partnership couple: No children
QS113EW0014,Count,Household,One family only: Same-sex civil partnership couple: One dependent child
QS113EW0015,Count,Household,One family only: Same-sex civil partnership couple: Two or more dependent children
QS113EW0016,Count,Household,One family only: Same-sex civil partnership couple: All children non-dependent
QS113EW0017,Count,Household,One family only: Cohabiting couple: Total
QS113EW0018,Count,Household,One family only: Cohabiting couple: No children
QS113EW0019,Count,Household,One family only: Cohabiting couple: One dependent child
QS113EW0020,Count,Household,One family only: Cohabiting couple: Two or more dependent children
QS113EW0021,Count,Household,One family only: Cohabiting couple: All children non-dependent
QS113EW0022,Count,Household,One family only: Lone parent: Total
QS113EW0023,Count,Household,One family only: Lone parent: One dependent child
QS113EW0024,Count,Household,One family only: Lone parent: Two or more dependent children
QS113EW0025,Count,Household,One family only: Lone parent: All children non-dependent
QS113EW0026,Count,Household,Other household types: Total
QS113EW0027,Count,Household,Other household types: With one dependent child
QS113EW0028,Count,Household,Other household types: With two or more dependent children
QS113EW0029,Count,Household,Other household types: All full-time students
QS113EW0030,Count,Household,Other household types: All aged 65 and over
QS113EW0031,Count,Household,Other household types: Other
QS202EW0001,Count,Household,All categories: Multiple ethnic groups
QS114EW0001,Count,Person,All categories: Household composition (alternative child and adult defintions)
QS114EW0002,Count,Person,One person household: Total
QS114EW0003,Count,Person,One person household: One person aged 65 and over
QS114EW0004,Count,Person,One person household: One person aged under 65
QS114EW0005,Count,Person,Other households: Total
QS114EW0006,Count,Person,Other households: No adults or one adult and one or more children
QS114EW0007,Count,Person,Other households: One adult aged 16 to 64 and one aged 65 and over and no children or two adults aged 65 and over and no children
QS114EW0008,Count,Person,Other households: Two adults and one or two children
QS114EW0009,Count,Person,Other households: Two adults aged 16 to 64 and no children
QS114EW0010,Count,Person,Other households: Two adults and three or more children
QS114EW0011,Count,Person,Other households: Three or more adults and one or more children
QS114EW0012,Count,Person,Other households: Three or more adults and no children
QS115EW0001,Count,Household,All categories: Household composition (alternative child and adult defintions)
QS115EW0002,Count,Household,One person household: Total
QS115EW0003,Count,Household,One person household: One person aged 65 and over
QS115EW0004,Count,Household,One person household: One person aged under 65
QS115EW0005,Count,Household,Other households: Total
QS115EW0006,Count,Household,Other households: No adults or one adult and one or more children
QS115EW0007,Count,Household,Other households: One adult aged 16 to 64 and one aged 65 and over and no children or two adults aged 65 and over and no children
QS115EW0008,Count,Household,Other households: Two adults and one or two children
QS115EW0009,Count,Household,Other households: Two adults aged 16 to 64 and no children
QS115EW0010,Count,Household,Other households: Two adults and three or more children
QS115EW0011,Count,Household,Other households: Three or more adults and one or more children
QS115EW0012,Count,Household,Other households: Three or more adults and no children
QS116EW0001,Count,Household,All categories: Household type
QS116EW0002,Count,Household,One person household
QS116EW0003,Count,Household,Married couple household: With dependent children
QS116EW0004,Count,Household,Married couple household: No dependent children
QS116EW0005,Count,Household,Same-sex civil partnership couple household: With dependent children
QS116EW0006,Count,Household,Same-sex civil partnership couple household: No dependent children
QS116EW0007,Count,Household,Cohabiting couple household: With dependent children
QS116EW0008,Count,Household,Cohabiting couple household: No dependent children
QS116EW0009,Count,Household,Lone parent household: With dependent children
QS116EW0010,Count,Household,Lone parent household: No dependent children
QS116EW0011,Count,Household,Multi-person household: All full-time students
QS116EW0012,Count,Household,Multi-person household: Other
QS117EW0001,Count,Person,All categories: Number of adults in household
QS117EW0002,Count,Person,1 adult in household
QS117EW0003,Count,Person,0 or multiple adults in household
QS118EW0001,Count,Family,All categories: Dependent children in family
QS118EW0002,Count,Family,No dependent children in family
QS118EW0003,Count,Family,One dependent child in family aged 0 to 4
QS118EW0004,Count,Family,One dependent child in family aged 5 to 11
QS118EW0005,Count,Family,One dependent child in family aged 12 to 18
QS118EW0006,Count,Family,Two dependent children in family; youngest aged 0 to 4
QS118EW0007,Count,Family,Two dependent children in family; youngest aged 5 to 11
QS118EW0008,Count,Family,Two dependent children in family; youngest aged 12 to 18
QS118EW0009,Count,Family,Three or more dependent children in family; youngest aged 0 to 4
QS118EW0010,Count,Family,Three or more dependent children in family; youngest aged 5 to 11
QS118EW0011,Count,Family,Three or more dependent children in family; youngest aged 12 to 18
QS118EW0012,Count,Person,Total dependent children
QS119EW0001,Count,Household,All categories: Classification of household deprivation
QS119EW0002,Count,Household,Household is not deprived in any dimension
QS119EW0003,Count,Household,Household is deprived in 1 dimension
QS119EW0004,Count,Household,Household is deprived in 2 dimensions
QS119EW0005,Count,Household,Household is deprived in 3 dimensions
QS119EW0006,Count,Household,Household is deprived in 4 dimensions
QS201EW0001,Count,Person,All categories: Ethnic group
QS201EW0002,Count,Person,White: English/Welsh/Scottish/Northern Irish/British
QS201EW0003,Count,Person,White: Irish
QS201EW0004,Count,Person,White: Gypsy or Irish Traveller
QS201EW0005,Count,Person,White: Other White
QS201EW0006,Count,Person,Mixed/multiple ethnic group: White and Black Caribbean
QS201EW0007,Count,Person,Mixed/multiple ethnic group: White and Black African
QS201EW0008,Count,Person,Mixed/multiple ethnic group: White and Asian
QS201EW0009,Count,Person,Mixed/multiple ethnic group: Other Mixed
QS201EW0010,Count,Person,Asian/Asian British: Indian
QS201EW0011,Count,Person,Asian/Asian British: Pakistani
QS201EW0012,Count,Person,Asian/Asian British: Bangladeshi
QS201EW0013,Count,Person,Asian/Asian British: Chinese
QS201EW0014,Count,Person,Asian/Asian British: Other Asian
QS201EW0015,Count,Person,Black/African/Caribbean/Black British: African
QS201EW0016,Count,Person,Black/African/Caribbean/Black British: Caribbean
QS201EW0017,Count,Person,Black/African/Caribbean/Black British: Other Black
QS201EW0018,Count,Person,Other ethnic group: Arab
QS201EW0019,Count,Person,Other ethnic group: Any other ethnic group
QS202EW0002,Count,Household,One person household
QS202EW0003,Count,Household,All household members have the same ethnic group
QS202EW0004,Count,Household,Different ethnic groups between the generations only
QS202EW0005,Count,Household,Different ethnic groups within partnerships (whether or not different ethnic groups between generations)
QS202EW0006,Count,Household,Any other combination of multiple ethnic groups
QS203EW0001,Count,Person,All categories: Country of birth
QS203EW0002,Count,Person,Europe: Total
QS203EW0003,Count,Person,Europe: United Kingdom: Total
QS203EW0004,Count,Person,Europe: United Kingdom: England
QS203EW0005,Count,Person,Europe: United Kingdom: Northern Ireland
QS203EW0006,Count,Person,Europe: United Kingdom: Scotland
QS203EW0007,Count,Person,Europe: United Kingdom: Wales
QS203EW0008,Count,Person,Europe: Great Britain not otherwise specified
QS203EW0009,Count,Person,Europe: United Kingdom not otherwise specified
QS203EW0010,Count,Person,Europe: Guernsey
QS203EW0011,Count,Person,Europe: Jersey
QS203EW0012,Count,Person,Europe: Channel Islands not otherwise specified
QS203EW0013,Count,Person,Europe: Isle of Man
QS203EW0014,Count,Person,Europe: Ireland
QS203EW0015,Count,Person,Europe: Other Europe: Total
QS203EW0016,Count,Person,Europe: Other Europe: EU Countries: Total
QS203EW0017,Count,Person,Europe: Other Europe: EU countries: Member countries in March 2001: Total
QS203EW0018,Count,Person,Europe: Other Europe: EU countries: Member countries in March 2001: France
QS203EW0019,Count,Person,Europe: Other Europe: EU countries: Member countries in March 2001: Germany
QS203EW0020,Count,Person,Europe: Other Europe: EU countries: Member countries in March 2001: Italy
QS203EW0021,Count,Person,Europe: Other Europe: EU countries: Member countries in March 2001: Portugal
QS203EW0022,Count,Person,Europe: Other Europe: EU countries: Member countries in March 2001: Spain (including Canary Islands)
QS203EW0023,Count,Person,Europe: Other Europe: EU countries: Member countries in March 2001: Other member countries in March 2001
QS203EW0024,Count,Person,Europe: Other Europe: EU countries: Accession countries April 2001 to March 2011: Total
QS203EW0025,Count,Person,Europe: Other Europe: EU countries: Accession countries April 2001 to March 2011: Lithuania
QS203EW0026,Count,Person,Europe: Other Europe: EU countries: Accession countries April 2001 to March 2011: Poland
QS203EW0027,Count,Person,Europe: Other Europe: EU countries: Accession countries April 2001 to March 2011: Romania
QS203EW0028,Count,Person,Europe: Other Europe: EU countries: Accession countries April 2001 to March 2011: Other EU accession countries
QS203EW0029,Count,Person,Europe: Other Europe: Rest of Europe: Total
QS203EW0030,Count,Person,Europe: Other Europe: Rest of Europe: Turkey
QS203EW0031,Count,Person,Europe: Other Europe: Rest of Europe: Other Europe
QS203EW0032,Count,Person,Africa: Total
QS203EW0033,Count,Person,Africa: North Africa
QS203EW0034,Count,Person,Africa: Central and Western Africa: Total
QS203EW0035,Count,Person,Africa: Central and Western Africa: Ghana
QS203EW0036,Count,Person,Africa: Central and Western Africa: Nigeria
QS203EW0037,Count,Person,Africa: Central and Western Africa: Other Central and Western Africa
QS203EW0038,Count,Person,Africa: South and Eastern Africa: Total
QS203EW0039,Count,Person,Africa: South and Eastern Africa: Kenya
QS203EW0040,Count,Person,Africa: South and Eastern Africa: Somalia
QS203EW0041,Count,Person,Africa: South and Eastern Africa: South Africa
QS203EW0042,Count,Person,Africa: South and Eastern Africa: Zimbabwe
QS203EW0043,Count,Person,Africa: South and Eastern Africa: Other South and Eastern Africa
QS203EW0044,Count,Person,Africa: Africa not otherwise specified
QS203EW0045,Count,Person,Middle East and Asia: Total
QS203EW0046,Count,Person,Middle East and Asia: Middle East: Total
QS203EW0047,Count,Person,Middle East and Asia: Middle East: Iran
QS203EW0048,Count,Person,Middle East and Asia: Middle East: Other Middle East
QS203EW0049,Count,Person,Middle East and Asia: Eastern Asia: Total
QS203EW0050,Count,Person,Middle East and Asia: Eastern Asia: China
QS203EW0051,Count,Person,Middle East and Asia: Eastern Asia: Hong Kong (Special Administrative Region of China)
QS203EW0052,Count,Person,Middle East and Asia: Eastern Asia: Other Eastern Asia
QS203EW0053,Count,Person,Middle East and Asia: Southern Asia: Total
QS203EW0054,Count,Person,Middle East and Asia: Southern Asia: Bangladesh
QS203EW0055,Count,Person,Middle East and Asia: Southern Asia: India
QS203EW0056,Count,Person,Middle East and Asia: Southern Asia: Pakistan
QS203EW0057,Count,Person,Middle East and Asia: Southern Asia: Sri Lanka
QS203EW0058,Count,Person,Middle East and Asia: Southern Asia: Other Southern Asia
QS203EW0059,Count,Person,Middle East and Asia: South-East Asia: Total
QS203EW0060,Count,Person,Middle East and Asia: South-East Asia: Philippines
QS203EW0061,Count,Person,Middle East and Asia: South-East Asia: Other South-East Asia
QS203EW0062,Count,Person,Middle East and Asia: Central Asia
QS203EW0063,Count,Person,The Americas and the Caribbean: Total
QS203EW0064,Count,Person,The Americas and the Caribbean: North America: Total
QS203EW0065,Count,Person,The Americas and the Caribbean: North America: United States
QS203EW0066,Count,Person,The Americas and the Caribbean: North America: Other North America
QS203EW0067,Count,Person,The Americas and the Caribbean: Central America
QS203EW0068,Count,Person,The Americas and the Caribbean: South America
QS203EW0069,Count,Person,The Americas and the Caribbean: The Caribbean: Total
QS203EW0070,Count,Person,The Americas and the Caribbean: The Caribbean: Jamaica
QS203EW0071,Count,Person,The Americas and the Caribbean: The Caribbean: Other Caribbean
QS203EW0072,Count,Person,Antarctica and Oceania: Total
QS203EW0073,Count,Person,Antarctica and Oceania: Antarctica
QS203EW0074,Count,Person,Antarctica and Oceania: Australasia: Total
QS203EW0075,Count,Person,Antarctica and Oceania: Australasia: Australia
QS203EW0076,Count,Person,Antarctica and Oceania: Australasia: Other Australasia
QS203EW0077,Count,Person,Antarctica and Oceania: Other Oceania
QS203EW0078,Count,Person,Other
QS204EW0001,Count,Person,All usual residents aged 3 and over
QS204EW0002,Count,Person,English (English or Welsh if in Wales)
QS204EW0003,Count,Person,Welsh/Cymraeg (in England only)
QS204EW0004,Count,Person,Other UK language: Total
QS204EW0005,Count,Person,Other UK language: Gaelic (Irish) 
QS204EW0006,Count,Person,Other UK language: Gaelic (Scottish)
QS204EW0007,Count,Person,Other UK language: Manx Gaelic
QS204EW0008,Count,Person,Other UK language: Gaelic (Not otherwise specified)  
QS204EW0009,Count,Person,Other UK language: Cornish
QS204EW0010,Count,Person,Other UK language: Scots
QS204EW0011,Count,Person,Other UK language: Gypsy/Traveller languages
QS204EW0012,Count,Person,French
QS204EW0013,Count,Person,Portuguese
QS204EW0014,Count,Person,Spanish
QS204EW0015,Count,Person,Other European Language (EU): Total
QS204EW0016,Count,Person,Other European Language (EU): Italian
QS204EW0017,Count,Person,Other European Language (EU): German
QS204EW0018,Count,Person,Other European Language (EU): Polish
QS204EW0019,Count,Person,Other European Language (EU): Slovak
QS204EW0020,Count,Person,Other European Language (EU): Czech
QS204EW0021,Count,Person,Other European Language (EU): Romanian
QS204EW0022,Count,Person,Other European Language (EU): Lithuanian
QS204EW0023,Count,Person,Other European Language (EU): Latvian
QS204EW0024,Count,Person,Other European Language (EU): Hungarian
QS204EW0025,Count,Person,Other European Language (EU): Bulgarian
QS204EW0026,Count,Person,Other European Language (EU): Greek
QS204EW0027,Count,Person,Other European Language (EU): Dutch
QS204EW0028,Count,Person,Other European Language (EU): Swedish
QS204EW0029,Count,Person,Other European Language (EU): Danish
QS204EW0030,Count,Person,Other European Language (EU): Finnish
QS204EW0031,Count,Person,Other European Language (EU): Estonian
QS204EW0032,Count,Person,Other European Language (EU): Slovenian
QS204EW0033,Count,Person,Other European Language (EU): Maltese
QS204EW0034,Count,Person,Other European Language (EU): Any other European Language (EU)
QS204EW0035,Count,Person,Other European Language (non EU): Total
QS204EW0036,Count,Person,Other European Language (non EU): Albanian
QS204EW0037,Count,Person,Other European Language (non EU): Serbian/Croatian/Bosnian
QS204EW0038,Count,Person,Other European Language (non EU): Ukrainian
QS204EW0039,Count,Person,Other European Language (non EU): Any other Eastern European Language (non EU)
QS204EW0040,Count,Person,Other European Language (non EU): Northern European Language (non EU)
QS204EW0041,Count,Person,Other European Language (non-national): Total
QS204EW0042,Count,Person,Other European Language (non-national): Romani language (any)
QS204EW0043,Count,Person,Other European Language (non-national): Yiddish
QS204EW0044,Count,Person,Russian
QS204EW0045,Count,Person,Turkish
QS204EW0046,Count,Person,Arabic
QS204EW0047,Count,Person,West/Central Asian Language: Total
QS204EW0048,Count,Person,West/Central Asian Language: Hebrew
QS204EW0049,Count,Person,West/Central Asian Language: Kurdish
QS204EW0050,Count,Person,West/Central Asian Language: Persian/Farsi
QS204EW0051,Count,Person,West/Central Asian Language: Pashto
QS204EW0052,Count,Person,West/Central Asian Language: West/Central Asian Language (all other)
QS204EW0053,Count,Person,South Asian Language: Total
QS204EW0054,Count,Person,South Asian Language: Urdu
QS204EW0055,Count,Person,South Asian Language: Hindi
QS204EW0056,Count,Person,South Asian Language: Panjabi
QS204EW0057,Count,Person,South Asian Language: Pakistani Pahari (with Mirpuri and Potwari)
QS204EW0058,Count,Person,South Asian Language: Bengali (with Sylheti and Chatgaya)
QS204EW0059,Count,Person,South Asian Language: Gujarati
QS204EW0060,Count,Person,South Asian Language: Marathi
QS204EW0061,Count,Person,South Asian Language: Telugu
QS204EW0062,Count,Person,South Asian Language: Tamil
QS204EW0063,Count,Person,South Asian Language: Malayalam
QS204EW0064,Count,Person,South Asian Language: Sinhala
QS204EW0065,Count,Person,South Asian Language: Nepalese
QS204EW0066,Count,Person,South Asian Language: South Asian Language (all other)
QS204EW0067,Count,Person,East Asian Language: Total
QS204EW0068,Count,Person,East Asian Language: Mandarin Chinese
QS204EW0069,Count,Person,East Asian Language: Cantonese Chinese
QS204EW0070,Count,Person,East Asian Language: All other Chinese
QS204EW0071,Count,Person,East Asian Language: Japanese
QS204EW0072,Count,Person,East Asian Language: Korean
QS204EW0073,Count,Person,East Asian Language: Vietnamese
QS204EW0074,Count,Person,East Asian Language: Thai
QS204EW0075,Count,Person,East Asian Language: Malay
QS204EW0076,Count,Person,East Asian Language: Tagalog/Filipino
QS204EW0077,Count,Person,East Asian Language: East Asian Language (all other)
QS204EW0078,Count,Person,Oceanic/Australian language (any)
QS204EW0079,Count,Person,North/South American language (any)
QS204EW0080,Count,Person,Caribbean Creole: Total
QS204EW0081,Count,Person,Caribbean Creole: Caribbean Creole (English-based)
QS204EW0082,Count,Person,Caribbean Creole: Caribbean Creole (all other)
QS204EW0083,Count,Person,African Language: Total
QS204EW0084,Count,Person,African Language: Amharic
QS204EW0085,Count,Person,African Language: Tigrinya
QS204EW0086,Count,Person,African Language: Somali
QS204EW0087,Count,Person,African Language: Krio
QS204EW0088,Count,Person,African Language: Akan
QS204EW0089,Count,Person,African Language: Yoruba
QS204EW0090,Count,Person,African Language: Igbo
QS204EW0091,Count,Person,African Language: Swahili/Kiswahili
QS204EW0092,Count,Person,African Language: Luganda
QS204EW0093,Count,Person,African Language: Lingala
QS204EW0094,Count,Person,African Language: Shona
QS204EW0095,Count,Person,African Language: Afrikaans
QS204EW0096,Count,Person,African Language: Any other Nigerian language
QS204EW0097,Count,Person,African Language: West African language (all other)
QS204EW0098,Count,Person,African Language: African language (all other)
QS204EW0099,Count,Person,Other Languages: Total
QS204EW0100,Count,Person,Other Languages: All other languages
QS204EW0101,Count,Person,Sign Language: Total
QS204EW0102,Count,Person,Sign Language: British sign language
QS204EW0103,Count,Person,Sign Language: Sign Language (all other)
QS204EW0104,Count,Person,Sign Language: Any Sign Communication System
QS205EW0001,Count,Person,All categories: Proficiency in English
QS205EW0002,Count,Person,Main language is English (English or Welsh in Wales)
QS205EW0003,Count,Person,Main language is not English (English or Welsh in Wales): Can speak English very well
QS205EW0004,Count,Person,Main language is not English (English or Welsh in Wales): Can speak English well
QS205EW0005,Count,Person,Main language is not English (English or Welsh in Wales): Cannot speak English well
QS205EW0006,Count,Person,Main language is not English (English or Welsh in Wales): Cannot speak English
QS206WA0001,Count,Person,All usual residents aged 3 and over
QS206WA0002,Count,Person,Can understand spoken Welsh
QS206WA0003,Count,Person,Can speak Welsh
QS206WA0004,Count,Person,Can read Welsh
QS206WA0005,Count,Person,Can write Welsh
